#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR30543090	SRR30543092	SRR30543093	SRR30543094	SRR30543095	SRR30543096	SRR30543097	SRR30543098	SRR30543099	SRR30543100	SRR30543101	SRR30543103	SRR30543104	SRR30543105	SRR30543106	SRR30543107	SRR30543108	SRR30543109	SRR30543110	SRR30543111	SRR30543112	SRR30543114	SRR30543115	SRR30543116	SRR30543117	SRR30543118
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.175571	0.0	54.247573	68.501556	51.160445	9.138372	58.068132	51.365647	0.491275	58.632713	47.325786	12.140465	41.989035	70.871644	0.3875642	73.060684	8.0612189	63.708876	62.340282	65.838909	29.465591	42.037931	40.261086	51.62723	7.678029	0.074771
k__Bacteria|p__Mycoplasmatota|c__Mycoplasmatota_unclassified|o__Mycoplasmoidales	1.042417	0.033666	0.0	0.0	0.0	0.088321	0.0	0.0	0.0	0.0	0.0	0.0	0.185238	0.0	0.0	0.0	0.1598021	0.0	0.0	0.001227	0.0	0.0	0.0	0.0	0.001188	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	0.362842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.502441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.300382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139558	0.0	0.0	0.0	0.069162	0.609199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.376929	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	0.29182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024953
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellia_unclassified	0.041707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales	0.013152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	0.006459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.569894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	0.003078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027558	0.0	0.0	0.0	0.174195	0.084799
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae	17.043525	20.999672	0.0	0.0	0.0	67.396538	0.0	0.0	53.011885	0.0	0.0	0.08303	0.0	0.019937	5.7416925	0.0	0.0	0.0	0.0	0.0	1.130592	0.0	0.0	0.0	61.172462	41.005226
